iter	Passed	Remaining
541	1050	887
542	1051	885
543	1053	883
544	1055	880
545	1056	878
546	1058	876
547	1059	874
548	1061	871
549	1062	869
550	1064	867
551	1066	865
552	1068	863
553	1069	861
554	1071	859
555	1072	856
556	1074	854
557	1076	852
558	1077	850
559	1079	848
560	1081	846
561	1083	844
562	1084	842
563	1086	839
564	1088	837
565	1089	835
566	1091	833
567	1092	831
568	1094	829
569	1096	827
570	1098	825
571	1100	823
572	1101	820
573	1103	818
574	1104	816
575	1106	814
576	1107	811
577	1109	809
578	1111	807
579	1112	805
580	1114	803
581	1116	801
582	1117	799
583	1119	797
584	1120	794
585	1122	792
586	1123	790
587	1125	788
588	1128	787
589	1130	785
590	1132	783
591	1133	781
592	1135	779
593	1137	777
594	1138	775
595	1140	773
596	1142	771
597	1144	769
598	1146	767
599	1147	765
600	1149	762
601	1150	760
602	1152	758
603	1153	756
604	1155	754
605	1157	752
606	1159	750
607	1161	748
608	1162	746
609	1164	744
610	1165	742
611	1167	739
612	1168	737
613	1170	735
614	1172	733
615	1174	731
616	1175	729
617	1177	727
618	1178	725
619	1180	723
620	1181	721
621	1183	719
622	1184	717
623	1187	715
624	1188	713
625	1190	711
626	1191	709
627	1193	706
628	1195	704
629	1196	702
630	1198	700
631	1199	698
632	1201	696
633	1203	694
634	1205	692
635	1207	690
636	1208	688
637	1210	686
638	1211	684
639	1213	682
640	1214	680
641	1216	678
642	1218	676
643	1220	674
644	1221	672
645	1223	670
646	1224	668
647	1226	666
648	1227	664
649	1229	662
650	1231	660
651	1233	658
652	1235	656
653	1236	654
654	1238	652
655	1239	650
656	1241	648
657	1242	645
658	1244	643
659	1246	641
660	1248	640
661	1249	638
662	1251	636
663	1253	634
664	1255	632
665	1257	630
666	1259	628
667	1261	626
668	1263	625
669	1265	623
670	1266	621
671	1268	619
672	1270	617
673	1271	615
674	1273	612
675	1274	610
676	1276	608
677	1278	607
678	1279	605
679	1281	603
680	1283	601
681	1284	599
682	1286	596
683	1287	594
684	1289	592
685	1290	590
686	1293	589
687	1295	587
688	1296	585
689	1298	583
690	1300	581
691	1301	579
692	1302	577
693	1304	575
694	1305	573
695	1307	571
696	1309	569
697	1311	567
698	1312	565
699	1314	563
700	1316	561
701	1317	559
702	1319	557
703	1320	555
704	1322	553
705	1324	551
706	1326	549
707	1327	547
708	1329	545
709	1330	543
710	1332	541
711	1333	539
712	1335	537
713	1337	535
714	1339	533
715	1341	532
716	1342	530
717	1344	528
718	1345	526
719	1347	524
720	1349	522
721	1350	520
722	1352	518
723	1354	516
724	1356	514
725	1357	512
726	1359	510
727	1360	508
728	1362	506
729	1363	504
730	1365	502
731	1366	500
732	1368	498
733	1370	496
734	1372	494
735	1373	492
736	1375	490
737	1376	488
738	1378	486
739	1379	484
740	1381	482
741	1383	480
742	1385	479
743	1387	477
744	1388	475
745	1390	473
746	1391	471
747	1393	469
748	1394	467
749	1396	465
750	1397	463
751	1400	461
752	1401	459
753	1403	457
754	1405	455
755	1406	454
756	1408	452
757	1409	450
758	1411	448
759	1412	446
760	1415	444
761	1417	442
762	1418	440
763	1420	438
764	1421	436
765	1423	434
766	1424	432
767	1426	430
768	1427	428
769	1429	427
770	1431	425
771	1433	423
772	1435	421
773	1436	419
774	1438	417
775	1439	415
776	1441	413
777	1443	411
778	1445	410
779	1447	408
780	1448	406
781	1450	404
782	1452	402
783	1453	400
784	1455	398
785	1456	396
786	1458	394
787	1459	392
788	1461	390
789	1463	389
790	1465	387
791	1467	385
792	1468	383
793	1470	381
794	1472	379
795	1473	377
796	1475	375
797	1477	373
798	1479	372
799	1480	370
800	1482	368
801	1483	366
802	1485	364
803	1486	362
804	1488	360
805	1489	358
806	1491	356
807	1493	354
808	1495	353
809	1497	351
810	1499	349
811	1501	347
812	1503	345
813	1505	343
814	1507	342
815	1508	340
816	1510	338
817	1512	336
818	1513	334
819	1515	332
820	1516	330
821	1518	328
822	1519	326
823	1521	324
824	1523	323
825	1525	321
826	1526	319
827	1528	317
828	1529	315
829	1531	313
830	1532	311
831	1534	309
832	1535	307
833	1538	306
834	1539	304
835	1541	302
836	1542	300
837	1544	298
838	1545	296
839	1547	294
840	1548	292
841	1550	290
842	1552	289
843	1554	287
844	1555	285
845	1557	283
846	1558	281
847	1560	279
848	1562	277
849	1563	275
850	1565	274
851	1566	272
852	1568	270
853	1570	268
854	1572	266
855	1573	264
856	1575	262
857	1576	260
858	1577	258
859	1579	257
860	1580	255
861	1582	253
862	1584	251
863	1586	249
864	1588	247
865	1590	246
866	1592	244
867	1593	242
868	1595	240
869	1597	238
870	1600	236
871	1601	235
872	1603	233
873	1604	231
874	1606	229
875	1607	227
876	1609	225
877	1611	223
878	1613	222
879	1615	220
880	1617	218
881	1618	216
882	1620	214
883	1621	212
884	1623	210
885	1624	209
886	1626	207
887	1629	205
888	1631	203
889	1633	201
890	1634	199
891	1636	198
892	1637	196
893	1639	194
894	1640	192
895	1642	190
896	1643	188
897	1645	186
898	1647	185
899	1649	183
900	1650	181
901	1652	179
902	1653	177
903	1655	175
904	1656	173
905	1658	172
906	1660	170
907	1662	168
908	1664	166
909	1665	164
910	1667	162
911	1669	161
912	1670	159
913	1672	157
914	1674	155
915	1676	153
916	1678	151
917	1679	150
918	1680	148
919	1682	146
920	1684	144
921	1685	142
922	1687	140
923	1689	138
924	1690	137
925	1692	135
926	1693	133
927	1695	131
928	1697	129
929	1698	127
930	1700	126
931	1701	124
932	1703	122
933	1704	120
934	1706	118
935	1707	116
936	1709	114
937	1711	113
938	1712	111
939	1714	109
940	1715	107
941	1717	105
942	1718	103
943	1720	102
944	1721	100
945	1723	98
946	1725	96
947	1726	94
948	1728	92
949	1729	91
950	1731	89
951	1732	87
952	1734	85
953	1735	83
954	1737	81
955	1739	80
956	1740	78
957	1742	76
958	1743	74
959	1745	72
960	1746	70
961	1748	69
962	1750	67
963	1751	65
964	1753	63
965	1755	61
966	1756	59
967	1758	58
968	1759	56
969	1761	54
970	1762	52
971	1764	50
972	1765	48
973	1767	47
974	1768	45
975	1770	43
976	1771	41
977	1773	39
978	1774	38
979	1776	36
980	1777	34
981	1779	32
982	1780	30
983	1782	28
984	1783	27
985	1785	25
986	1786	23
987	1788	21
988	1789	19
989	1791	18
990	1792	16
991	1794	14
992	1795	12
993	1797	10
994	1802	9
995	1804	7
996	1806	5
997	1809	3
998	1810	1
999	1812	0
